Event Name,Time,Distinct ID,City,Country,Operating System,Duration
splash_to_Dashboard,1683447883.618,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,7.757
splash_to_Dashboard,1683447508.526,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,16.346
splash_to_Dashboard,1683446301.826,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Chandigarh,IN,iOS,13.358
splash_to_Dashboard,1683443193.82,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Shimla,IN,iOS,8.821
splash_to_Dashboard,1683442771.39,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,11.669
splash_to_Dashboard,1683442169.042,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,20.768
splash_to_Dashboard,1683441639.61,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Chandigarh,IN,iOS,6.081
splash_to_Dashboard,1683440525.008,644e2a167e630310bbfb1d97::6CA1C926-91E9-4D6A-9A1B-1BACF0E21F6E,Delhi,IN,iOS,7.865
splash_to_Dashboard,1683439417.679,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Shimla,IN,iOS,10.119
splash_to_Dashboard,1683438461.883,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Chandigarh,IN,iOS,4.718
splash_to_Dashboard,1683435774.005,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Chandigarh,IN,iOS,6.531
splash_to_Dashboard,1683434880.746,644671a510a89e1ddbf673d1::5783BAD0-00B8-4DE1-B7A9-8AAE218E106D,Delhi,IN,iOS,10.435
splash_to_Dashboard,1683431152.178,64169b8d674dacfa26a51923::ED244EF2-C697-4F7F-94D6-1B96376EEF02,Delhi,IN,iOS,31709.635
splash_to_Dashboard,1683426114.2,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Mohali,IN,iOS,5.081
splash_to_Dashboard,1683424819.308,645525ec11c6e3f4fc10b4e3::ECAD9DC4-67D2-4494-921F-7D67EE7504D5,Delhi,IN,iOS,4.487
splash_to_Dashboard,1683397584.115,644671a510a89e1ddbf673d1::5783BAD0-00B8-4DE1-B7A9-8AAE218E106D,Delhi,IN,iOS,7.56
splash_to_Dashboard,1683395043.705,642432f1bbbcd43aa744d7bd::1A7C57CF-BC33-47C8-A2E4-166255D8D51C,Delhi,IN,iOS,5559.236
splash_to_Dashboard,1683393659.701,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,20.053
