Date,Event,OS,"Oct 8 2022, 12:00AM - Apr 6 2023, 3:50PM"
2023-03-15,App Session - DAU,Android,2
2023-03-15,App Session - DAU,iOS,0
2023-03-15,App Session - DAU,iPadOS,0
2023-03-15,App Session - DAU,macOS,0
2023-03-16,App Session - DAU,Android,3
2023-03-16,App Session - DAU,iOS,0
2023-03-16,App Session - DAU,iPadOS,0
2023-03-16,App Session - DAU,macOS,0
2023-03-17,App Session - DAU,Android,2
2023-03-17,App Session - DAU,iOS,0
2023-03-17,App Session - DAU,iPadOS,0
2023-03-17,App Session - DAU,macOS,0
2023-03-18,App Session - DAU,Android,1
2023-03-18,App Session - DAU,iOS,0
2023-03-18,App Session - DAU,iPadOS,0
2023-03-18,App Session - DAU,macOS,0
2023-03-19,App Session - DAU,Android,2
2023-03-19,App Session - DAU,iOS,0
